ListID,PropertyName,Type,Price,Bedrooms,Bathrooms,Sqft,Author,ListDate,Address,NearestMRT,DistanceToMRT,PricePerSqft,URL,Latitude,Longitude,Full Address
60136859,CanningHill Piers,Sale,3503000.0,3,2,1130,Tim Tay,24 Sep 2025,5 Clarke Quay,DT20 Fort Canning MRT Station,160.0,3100.0,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-60136859,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
60100814,CanningHill Piers,Sale,2599999.0,2,2,829,Isaac Neo,24 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3136.31,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-60100814,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
25411727,CanningHill Piers,Sale,2750000.0,2,2,807,Ou Yaocan Jack,24 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3407.68,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-25411727,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
25186049,Eden Residences Capitol,Sale,5988888.0,3,3,2120,Adrian Khoo,24 Sep 2025,11 Stamford Road,NS25 City Hall MRT Station,110.0,2824.95,https://www.propertyguru.com.sg/listing/for-sale-eden-residences-capitol-25186049,1.29298775382221,103.851046829843,11 STAMFORD ROAD EDEN RESIDENCES CAPITOL SINGAPORE 178884
25266576,CanningHill Piers,Sale,2850000.0,2,2,829,Siew Lee Lim,23 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3437.88,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-25266576,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
25433554,CanningHill Piers,Sale,1590000.0,1,1,538,Kwan Le'En,22 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,2955.39,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-25433554,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
25488355,CanningHill Piers,Sale,2824500.0,2,2,807,Teo Teng Teng,21 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3500.0,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-25488355,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
24290298,CanningHill Piers,Sale,3100000.0,3,2,947,Simon Lim,21 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3273.5,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-24290298,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
60064949,CanningHill Piers,Sale,1638000.0,1,1,463,Marcus Law,20 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3537.8,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-60064949,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
24119570,CanningHill Piers,Sale,6200000.0,4,4,1755,LESTER CHEN,24 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3532.76,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-24119570,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
25061777,CanningHill Piers,Sale,3500000.0,3,3,1130,LESTER CHEN,24 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3097.35,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-25061777,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
25061772,CanningHill Piers,Sale,8600000.0,5,5,2788,LESTER CHEN,24 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3084.65,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-25061772,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
24713008,CanningHill Piers,Sale,3880000.0,3,2,1259,Doris Li,24 Sep 2025,177 River Valley Road,DT20 Fort Canning MRT Station,100.0,3081.81,https://www.propertyguru.com.sg/listing/for-sale-canninghill-piers-24713008,1.29155320677629,103.844671834054,5 CLARKE QUAY CANNINGHILL PIERS (U/C) SINGAPORE 179884
