Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km,Hospitals Within Radius of 5km,Schools Within Radius of 2km
KENTISH COURT,"1,673,000","1,280.92","1,306",Sep-25,OXFORD ROAD,Resale,Strata,119.0,"14,059",-,Apartment,1,99 yrs lease commencing from 1995,8,Rest of Central Region,01 to 05,1.31514534529478,103.852365754708,33 OXFORD ROAD KENTISH COURT SINGAPORE 218816,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; Tekka Centre; United Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
28 RC SUITES,"760,000",430.56,"1,765",Sep-25,RACE COURSE LANE,Resale,Strata,40.0,"19,000",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.3099817921347,103.852952005462,28 RACE COURSE LANE 28 RC SUITES SINGAPORE 218746,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; LITTLE INDIA MRT STATION; ROCHOR MRT STATION,Queen Street Blk 270 (Albert Centre); Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
CITYSCAPE @FARRER PARK,"1,810,000","1,076.4","1,682",Sep-25,MERGUI ROAD,Resale,Strata,100.0,"18,100",-,Condominium,1,Freehold,8,Rest of Central Region,26 to 30,1.31802199387753,103.851593706635,101 MERGUI ROAD CITYSCAPE @FARRER PARK SINGAPORE 219067,FARRER PARK MRT STATION; NOVENA MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; CHIJ PRIMARY (TOA PAYOH); CHIJ SECONDARY (TOA PAYOH); FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITYSCAPE @FARRER PARK,"2,225,000","1,248.62","1,782",Sep-25,MERGUI ROAD,Resale,Strata,116.0,"19,181",-,Condominium,1,Freehold,8,Rest of Central Region,21 to 25,1.31802199387753,103.851593706635,101 MERGUI ROAD CITYSCAPE @FARRER PARK SINGAPORE 219067,FARRER PARK MRT STATION; NOVENA MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; CHIJ PRIMARY (TOA PAYOH); CHIJ SECONDARY (TOA PAYOH); FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
JOOL SUITES,"724,000",398.27,"1,818",Sep-25,SING JOO WALK,Resale,Strata,37.0,"19,568",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.31520905789978,103.854919307157,2 SING JOO WALK JOOL SUITES SINGAPORE 217811,FARRER PARK MRT STATION; BOON KENG MRT STATION; BENDEMEER MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre,City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
KENTISH GREEN,"1,400,000","1,076.4","1,301",Aug-25,OXFORD ROAD,Resale,Strata,100.0,"14,000",-,Apartment,1,99 yrs lease commencing from 1995,8,Rest of Central Region,06 to 10,1.31559997820356,103.851787324083,20 OXFORD ROAD KENTISH GREEN SINGAPORE 218815,FARRER PARK MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITYLIGHTS,"1,810,000",871.88,"2,076",Aug-25,JELLICOE ROAD,Resale,Strata,81.0,"22,346",-,Condominium,1,99 yrs lease commencing from 2004,8,Rest of Central Region,11 to 15,1.30827581228578,103.863117419778,80 JELLICOE ROAD CITYLIGHTS SINGAPORE 208766,LAVENDER MRT STATION; BENDEMEER MRT STATION; JALAN BESAR MRT STATION; NICOLL HIGHWAY MRT STATION; KALLANG MRT STATION,Berseh Food Centre; Golden Mile Food Centre; North Bridge Road Market,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. MARGARET'S SCHOOL (PRIMARY)
D'CAMBRIDGE,"1,688,000","1,022.58","1,651",Aug-25,CAMBRIDGE ROAD,Resale,Strata,95.0,"17,768",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.31447986255004,103.848499199492,60 CAMBRIDGE ROAD D' CAMBRIDGE SINGAPORE 219757,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; NOVENA MRT STATION; LITTLE INDIA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Tekka Centre; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITY LOFT,"690,000",355.21,"1,943",Aug-25,RACE COURSE ROAD,Resale,Strata,33.0,"20,909",-,Apartment,1,Freehold,8,Rest of Central Region,06 to 10,1.31506105973759,103.856679863644,363 RACE COURSE ROAD CITY LOFT SINGAPORE 218636,FARRER PARK MRT STATION; BENDEMEER MRT STATION; BOON KENG MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Bendemeer Road Blk 29 (Bendemeer Market and Food Centre); Berseh Food Centre,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITY SQUARE RESIDENCES,"1,930,000",871.88,"2,214",Aug-25,KITCHENER LINK,Resale,Strata,81.0,"23,827",-,Condominium,1,Freehold,8,Rest of Central Region,26 to 30,1.31110535846664,103.857479860813,2 KITCHENER LINK CITY SQUARE RESIDENCES SINGAPORE 207229,FARRER PARK MRT STATION; JALAN BESAR MRT STATION; BENDEMEER MRT STATION; LAVENDER MRT STATION; ROCHOR MRT STATION; LITTLE INDIA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; North Bridge Road Market; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Aperia; City Square Mall; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CLYDES RESIDENCE,"1,850,000","1,119.46","1,653",Aug-25,MERGUI ROAD,Resale,Strata,104.0,"17,788",-,Apartment,1,Freehold,8,Rest of Central Region,11 to 15,1.31734941207477,103.852212921601,78 MERGUI ROAD CLYDES RESIDENCE SINGAPORE 219054,FARRER PARK MRT STATION; NOVENA MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; CHIJ SECONDARY (TOA PAYOH); FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
UPTOWN @ FARRER,"3,380,000","1,646.89","2,052",Aug-25,PERUMAL ROAD,Resale,Strata,153.0,"22,092",-,Apartment,1,99 yrs lease commencing from 2017,8,Rest of Central Region,21 to 25,1.31294432373666,103.855634735092,2 PERUMAL ROAD UPTOWN @ FARRER SINGAPORE 218773,FARRER PARK MRT STATION; BENDEMEER MRT STATION; JALAN BESAR MRT STATION; LITTLE INDIA MRT STATION; BOON KENG MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
HERTFORD COLLECTION,"1,140,000",785.77,"1,451",Aug-25,HERTFORD ROAD,Resale,Strata,73.0,"15,616",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.31325732047152,103.848953427343,40 HERTFORD ROAD HERTFORD COLLECTION SINGAPORE 219408,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; NOVENA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Tekka Centre; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITYSCAPE @FARRER PARK,"1,680,000","1,259.39","1,334",Aug-25,MERGUI ROAD,Resale,Strata,117.0,"14,359",-,Condominium,1,Freehold,8,Rest of Central Region,01 to 05,1.31802199387753,103.851593706635,101 MERGUI ROAD CITYSCAPE @FARRER PARK SINGAPORE 219067,FARRER PARK MRT STATION; NOVENA MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; CHIJ PRIMARY (TOA PAYOH); CHIJ SECONDARY (TOA PAYOH); FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
KENTISH LODGE,"1,650,000","1,356.26","1,217",Aug-25,OXFORD ROAD,Resale,Strata,126.0,"13,095",-,Apartment,1,99 yrs lease commencing from 1995,8,Rest of Central Region,01 to 05,1.3157953905606,103.852804524115,3 OXFORD ROAD KENTISH LODGE SINGAPORE 218814,FARRER PARK MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITY SQUARE RESIDENCES,"1,905,000","1,216.33","1,566",Aug-25,KITCHENER LINK,Resale,Strata,113.0,"16,858",-,Condominium,1,Freehold,8,Rest of Central Region,01 to 05,1.31110535846664,103.857479860813,2 KITCHENER LINK CITY SQUARE RESIDENCES SINGAPORE 207229,FARRER PARK MRT STATION; JALAN BESAR MRT STATION; BENDEMEER MRT STATION; LAVENDER MRT STATION; ROCHOR MRT STATION; LITTLE INDIA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; North Bridge Road Market; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Aperia; City Square Mall; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
KERRISDALE,"2,130,000","1,259.39","1,691",Aug-25,STURDEE ROAD,Resale,Strata,117.0,"18,205",-,Condominium,1,99 yrs lease commencing from 1998,8,Rest of Central Region,21 to 25,1.3131227003568,103.857656215109,30 STURDEE ROAD KERRISDALE SINGAPORE 207852,FARRER PARK MRT STATION; BENDEMEER MRT STATION; BOON KENG MRT STATION; LAVENDER MRT STATION; JALAN BESAR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Bendemeer Road Blk 29 (Bendemeer Market and Food Centre); Berseh Food Centre,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
SOHO 188,"742,000",419.8,"1,768",Aug-25,RACE COURSE ROAD,Resale,Strata,39.0,"19,026",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.31119207325572,103.85327574283,188 RACE COURSE ROAD SOHO 188 SINGAPORE 218612,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; LITTLE INDIA MRT STATION; ROCHOR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
CITYSCAPE @FARRER PARK,"2,308,000","1,377.79","1,675",Jul-25,MERGUI ROAD,Resale,Strata,128.0,"18,031",-,Condominium,1,Freehold,8,Rest of Central Region,26 to 30,1.31802199387753,103.851593706635,101 MERGUI ROAD CITYSCAPE @FARRER PARK SINGAPORE 219067,FARRER PARK MRT STATION; NOVENA MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; CHIJ PRIMARY (TOA PAYOH); CHIJ SECONDARY (TOA PAYOH); FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
JOOL SUITES,"740,000",409.03,"1,809",Jul-25,SING JOO WALK,Resale,Strata,38.0,"19,474",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.31520905789978,103.854919307157,2 SING JOO WALK JOOL SUITES SINGAPORE 217811,FARRER PARK MRT STATION; BOON KENG MRT STATION; BENDEMEER MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre,City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
